"月","日","時","外気温[℃]","外気絶対湿度 [kg/kgDA]","法線面直達日射量 [W/m2]","水平面天空日射量 [W/m2]","水平面夜間放射量 [W/m2]","太陽高度角[度]","太陽方位角[度]",
"1","1","1","0.1","0.0028","0","0","38.3166666666667","-66","-52",
"1","1","2","-0.4","0.0028","0","0","39.4777777777778","-56","-72",
"1","1","3","-0.4","0.0024","0","0","39.4777777777778","-45","-84",
"1","1","4","-0.9","0.0023","0","0","39.4777777777778","-33","-86",
"1","1","5","-1.2","0.0022","0","0","44.1222222222222","-22","-77",
"1","1","6","-1.3","0.0018","0","0","46.4444444444444","-11","-69",
"1","1","7","-1.7","0.0018","2.32222222222222","5.80555555555556","46.4444444444444","0","-60",
"1","1","8","-1.4","0.0018","44.1222222222222","38.3166666666667","48.7666666666667","9","-49",
"1","1","9","-1.5","0.0018","35.9944444444444","71.9888888888889","53.4111111111111","17","-38",
"1","1","10","-1","0.0019","22.0611111111111","91.7277777777778","44.1222222222222","23","-25",
"1","1","11","-0.7","0.0018","80.1166666666666","152.105555555556","54.5722222222222","27","-10",
"1","1","12","-0.1","0.002","762.85","88.2444444444444","90.5666666666666","27","6",
"1","1","13","0.6","0.0017","415.677777777778","141.655555555556","74.3111111111111","24","21",
"1","1","14","0","0.0016","63.8611111111111","99.8555555555555","44.1222222222222","19","34",
"1","1","15","-0.6","0.0019","63.8611111111111","55.7333333333333","44.1222222222222","12","46",
"1","1","16","-0.8","0.0019","22.0611111111111","11.6111111111111","45.2833333333333","3","57",
"1","1","17","-1.2","0.0021","0","0","46.4444444444444","-8","66",
"1","1","18","-1","0.0018","0","0","47.6055555555556","-18","75",
"1","1","19","-1.1","0.002","0","0","49.9277777777778","-30","84",
"1","1","20","-0.9","0.0019","0","0","51.0888888888889","-41","87",
"1","1","21","-0.7","0.0019","0","0","51.0888888888889","-53","75",
"1","1","22","-0.4","0.0019","0","0","53.4111111111111","-63","59",
"1","1","23","-0.4","0.0019","0","0","55.7333333333333","-71","29",
"1","1","24","-0.3","0.0021","0","0","55.7333333333333","-73","-17",
"1","2","1","-0.9","0.0023","0","0","55.7333333333333","-66","-52",
"1","2","2","-1","0.0023","0","0","55.7333333333333","-56","-71",
"1","2","3","-1.3","0.0024","0","0","56.8944444444444","-45","-84",
"1","2","4","-1.2","0.0025","0","0","58.0555555555556","-33","-86",
"1","2","5","-1.3","0.0025","0","0","60.3777777777778","-22","-78",
"1","2","6","-2.2","0.0024","0","0","61.5388888888889","-11","-69",
"1","2","7","-2.5","0.0024","2.32222222222222","2.32222222222222","62.7","0","-60",
"1","2","8","-2.7","0.0024","97.5333333333333","47.6055555555556","61.5388888888889","9","-50",
"1","2","9","-0.7","0.0026","510.888888888889","85.9222222222222","96.3722222222222","17","-38",
"1","2","10","2.1","0.0026","541.077777777778","113.788888888889","95.2111111111111","23","-25",
"1","2","11","2.6","0.0024","521.338888888889","135.85","95.2111111111111","27","-10",
"1","2","12","4.2","0.0026","604.938888888889","121.916666666667","102.177777777778","27","5",
"1","2","13","4.7","0.0025","507.405555555556","127.722222222222","94.05","25","21",
"1","2","14","4.9","0.0026","355.3","113.788888888889","83.6","19","34",
"1","2","15","4","0.0026","27.8666666666667","44.1222222222222","54.5722222222222","12","46",
"1","2","16","3.7","0.0025","2.32222222222222","5.80555555555556","49.9277777777778","3","57",
"1","2","17","3","0.0026","0","0","46.4444444444444","-7","66",
"1","2","18","3","0.0027","0","0","40.6388888888889","-18","75",
"1","2","19","3","0.0028","0","0","38.3166666666667","-30","84",
"1","2","20","3.1","0.0031","0","0","33.6722222222222","-41","87",
"1","2","21","2.8","0.0032","0","0","29.0277777777778","-53","75",
"1","2","22","2.9","0.0033","0","0","26.7055555555556","-63","59",
"1","2","23","2.4","0.0033","0","0","22.0611111111111","-71","29",
"1","2","24","3","0.0038","0","0","18.5777777777778","-73","-17",
"1","3","1","2.3","0.0039","0","0","15.0944444444444","-66","-51",
"1","3","2","2.5","0.004","0","0","22.0611111111111","-56","-71",
"1","3","3","2.5","0.004","0","0","27.8666666666667","-45","-84",
"1","3","4","2.6","0.0041","0","0","33.6722222222222","-33","-86",
"1","3","5","2.4","0.0041","0","0","40.6388888888889","-22","-78",
"1","3","6","1.7","0.004","0","0","46.4444444444444","-11","-69",
"1","3","7","2.1","0.004","2.32222222222222","5.80555555555556","53.4111111111111","0","-60",
"1","3","8","2.6","0.004","225.255555555556","52.25","61.5388888888889","9","-50",
"1","3","9","4.1","0.0039","147.461111111111","102.177777777778","56.8944444444444","17","-38",
