"月","日","時","外気温[℃]","外気絶対湿度 [kg/kgDA]","法線面直達日射量 [W/m2]","水平面天空日射量 [W/m2]","水平面夜間放射量 [W/m2]","太陽高度角[度]","太陽方位角[度]",
"1","1","1","2.6","0.0033","0","0","81.2777777777778","-74","-48",
"1","1","2","2.9","0.0032","0","0","78.9555555555555","-63","-72",
"1","1","3","2.8","0.0032","0","0","76.6333333333333","-51","-85",
"1","1","4","2.4","0.0033","0","0","71.9888888888889","-38","-87",
"1","1","5","2.4","0.0033","0","0","68.5055555555555","-26","-79",
"1","1","6","2.8","0.0033","0","0","65.0222222222222","-14","-72",
"1","1","7","2.3","0.0032","2.32222222222222","2.32222222222222","62.7","-3","-64",
"1","1","8","2.3","0.0033","138.172222222222","41.8","62.7","8","-55",
"1","1","9","3.7","0.0033","485.344444444444","85.9222222222222","85.9222222222222","17","-45",
"1","1","10","5.9","0.0033","734.983333333333","85.9222222222222","96.3722222222222","25","-32",
"1","1","11","7.7","0.0028","665.316666666667","125.4","97.5333333333333","30","-18",
"1","1","12","8.5","0.003","568.944444444444","157.911111111111","92.8888888888889","32","-2",
"1","1","13","9.3","0.0026","788.394444444444","97.5333333333333","107.983333333333","31","14",
"1","1","14","9.8","0.0026","449.35","149.783333333333","91.7277777777778","26","29",
"1","1","15","9.6","0.0026","141.655555555556","116.111111111111","65.0222222222222","19","42",
"1","1","16","8.9","0.0033","155.588888888889","58.0555555555556","73.15","10","53",
"1","1","17","7.9","0.0033","41.8","11.6111111111111","70.8277777777778","0","62",
"1","1","18","6.9","0.0035","0","0","70.8277777777778","-11","70",
"1","1","19","6.4","0.0036","0","0","68.5055555555555","-23","77",
"1","1","20","6.4","0.0037","0","0","68.5055555555555","-35","85",
"1","1","21","6.4","0.0037","0","0","68.5055555555555","-48","87",
"1","1","22","6.2","0.0036","0","0","70.8277777777778","-60","76",
"1","1","23","6.1","0.0035","0","0","69.6666666666667","-71","56",
"1","1","24","5.9","0.0035","0","0","68.5055555555555","-78","8",
"1","2","1","5.4","0.0035","0","0","69.6666666666667","-74","-48",
"1","2","2","5.6","0.0035","0","0","70.8277777777778","-63","-72",
"1","2","3","5.5","0.0034","0","0","69.6666666666667","-51","-84",
"1","2","4","5.5","0.0035","0","0","69.6666666666667","-39","-87",
"1","2","5","5.4","0.0034","0","0","69.6666666666667","-26","-79",
"1","2","6","5.7","0.0032","0","0","70.8277777777778","-14","-72",
"1","2","7","5.1","0.0033","0","0","70.8277777777778","-3","-64",
"1","2","8","4.5","0.0036","235.705555555556","44.1222222222222","67.3444444444444","8","-55",
"1","2","9","5.3","0.0035","58.0555555555556","85.9222222222222","46.4444444444444","17","-45",
"1","2","10","6.7","0.0034","41.8","116.111111111111","42.9611111111111","25","-33",
"1","2","11","6.7","0.003","35.9944444444444","143.977777777778","45.2833333333333","30","-18",
"1","2","12","7","0.0029","33.6722222222222","155.588888888889","44.1222222222222","32","-2",
"1","2","13","7.2","0.0028","38.3166666666667","149.783333333333","45.2833333333333","31","14",
"1","2","14","7.5","0.0027","63.8611111111111","143.977777777778","48.7666666666667","27","29",
"1","2","15","7.5","0.0028","493.472222222222","99.8555555555555","90.5666666666666","19","42",
"1","2","16","7.6","0.0028","405.227777777778","55.7333333333333","94.05","10","53",
"1","2","17","7.4","0.0028","22.0611111111111","11.6111111111111","90.5666666666666","0","62",
"1","2","18","6.7","0.0029","0","0","83.6","-11","70",
"1","2","19","6","0.0029","0","0","80.1166666666666","-23","77",
"1","2","20","4.7","0.0031","0","0","74.3111111111111","-35","85",
"1","2","21","3.6","0.0031","0","0","68.5055555555555","-48","87",
"1","2","22","2.9","0.0031","0","0","65.0222222222222","-60","76",
"1","2","23","2.1","0.0032","0","0","59.2166666666667","-71","56",
"1","2","24","1.6","0.0031","0","0","56.8944444444444","-78","9",
"1","3","1","1.3","0.0031","0","0","52.25","-74","-47",
"1","3","2","0.6","0.0031","0","0","46.4444444444444","-63","-72",
"1","3","3","0.6","0.003","0","0","44.1222222222222","-51","-84",
"1","3","4","0.7","0.0031","0","0","41.8","-39","-87",
"1","3","5","0.7","0.0031","0","0","35.9944444444444","-26","-79",
"1","3","6","1.1","0.0031","0","0","32.5111111111111","-14","-72",
"1","3","7","1.4","0.0031","0","0","27.8666666666667","-3","-64",
"1","3","8","1.6","0.0031","19.7388888888889","25.5444444444444","25.5444444444444","8","-55",
"1","3","9","2.6","0.0032","19.7388888888889","61.5388888888889","25.5444444444444","17","-45",
"1","3","10","3.4","0.0033","19.7388888888889","91.7277777777778","26.7055555555556","25","-33",
"1","3","11","4.4","0.0034","22.0611111111111","113.788888888889","25.5444444444444","30","-18",
"1","3","12","4.7","0.0039","16.2555555555556","127.722222222222","24.3833333333333","32","-2",
"1","3","13","4.4","0.0042","8.12777777777778","97.5333333333333","25.5444444444444","31","14",
"1","3","14","4.7","0.0045","2.32222222222222","58.0555555555556","16.2555555555556","27","29",
"1","3","15","4.9","0.0047","2.32222222222222","41.8","13.9333333333333","20","42",
"1","3","16","5.3","0.005","5.80555555555556","19.7388888888889","16.2555555555556","10","53",
"1","3","17","5.1","0.0051","2.32222222222222","2.32222222222222","15.0944444444444","0","62",
"1","3","18","5","0.0049","0","0","15.0944444444444","-11","70",
"1","3","19","5.1","0.0049","0","0","15.0944444444444","-23","77",
"1","3","20","5.1","0.0049","0","0","15.0944444444444","-35","85",
"1","3","21","5","0.005","0","0","15.0944444444444","-47","87",
"1","3","22","5.3","0.005","0","0","16.2555555555556","-60","76",
"1","3","23","5.3","0.005","0","0","16.2555555555556","-71","56",
"1","3","24","5.6","0.0051","0","0","15.0944444444444","-78","9",
"1","4","1","5.7","0.0052","0","0","15.0944444444444","-74","-47",
"1","4","2","5.5","0.0051","0","0","13.9333333333333","-63","-71",
"1","4","3","6","0.0054","0","0","13.9333333333333","-51","-84",
"1","4","4","5.9","0.0054","0","0","13.9333333333333","-39","-87",
"1","4","5","5.8","0.0055","0","0","16.2555555555556","-26","-79",
"1","4","6","6.3","0.0056","0","0","15.0944444444444","-14","-72",
"1","4","7","6.8","0.0056","0","0","17.4166666666667","-3","-64",
"1","4","8","6.6","0.0058","19.7388888888889","25.5444444444444","22.0611111111111","8","-55",
"1","4","9","7","0.006","19.7388888888889","61.5388888888889","24.3833333333333","17","-45",
"1","4","10","7.7","0.0062","16.2555555555556","91.7277777777778","22.0611111111111","25","-33",
"1","4","11","8","0.0063","19.7388888888889","113.788888888889","24.3833333333333","30","-18",
"1","4","12","8.5","0.0063","22.0611111111111","125.4","23.2222222222222","33","-2",
"1","4","13","8.8","0.0063","19.7388888888889","119.594444444444","22.0611111111111","31","14",
"1","4","14","9.2","0.0063","16.2555555555556","99.8555555555555","24.3833333333333","27","29",
"1","4","15","9.5","0.0063","16.2555555555556","71.9888888888889","23.2222222222222","20","42",
"1","4","16","9.8","0.0061","19.7388888888889","35.9944444444444","24.3833333333333","11","53",
"1","4","17","9.6","0.0057","2.32222222222222","5.80555555555556","26.7055555555556","0","62",
"1","4","18","9.4","0.0051","0","0","27.8666666666667","-11","70",
"1","4","19","8.8","0.0047","0","0","31.35","-23","77",
"1","4","20","8.3","0.0041","0","0","37.1555555555556","-35","85",
"1","4","21","7.2","0.0037","0","0","37.1555555555556","-47","87",
"1","4","22","6.3","0.0038","0","0","40.6388888888889","-60","76",
"1","4","23","6.9","0.0038","0","0","40.6388888888889","-71","56",
"1","4","24","5.5","0.0039","0","0","41.8","-78","10",
"1","5","1","6.5","0.0037","0","0","46.4444444444444","-74","-46",
"1","5","2","6.3","0.0038","0","0","48.7666666666667","-63","-71",
"1","5","3","5.7","0.0039","0","0","48.7666666666667","-51","-84",
"1","5","4","6.3","0.0037","0","0","51.0888888888889","-39","-87",
"1","5","5","6.8","0.0036","0","0","56.8944444444444","-26","-80",
"1","5","6","5.9","0.0038","0","0","58.0555555555556","-14","-72",
"1","5","7","5.6","0.0036","2.32222222222222","2.32222222222222","59.2166666666667","-3","-64",
"1","5","8","5.2","0.0034","157.911111111111","41.8","62.7","8","-56",
"1","5","9","5.2","0.0031","135.85","102.177777777778","56.8944444444444","17","-45",
"1","5","10","6.4","0.003","291.438888888889","157.911111111111","74.3111111111111","25","-33",
"1","5","11","7.2","0.0028","546.883333333333","152.105555555556","89.4055555555555","30","-19",
"1","5","12","7.7","0.0029","175.327777777778","213.644444444444","67.3444444444444","33","-3",
"1","5","13","7.6","0.0027","225.255555555556","207.838888888889","71.9888888888889","31","14",
"1","5","14","7","0.0029","427.288888888889","155.588888888889","85.9222222222222","27","29",
"1","5","15","7.4","0.0027","571.266666666667","91.7277777777778","96.3722222222222","20","42",
"1","5","16","6.6","0.0025","447.027777777778","55.7333333333333","99.8555555555555","11","53",
"1","5","17","5.9","0.0025","63.8611111111111","13.9333333333333","102.177777777778","0","62",
"1","5","18","4.9","0.0024","0","0","99.8555555555555","-11","70",
