"月","日","時","外気温[℃]","外気絶対湿度 [kg/kgDA]","法線面直達日射量 [W/m2]","水平面天空日射量 [W/m2]","水平面夜間放射量 [W/m2]","太陽高度角[度]","太陽方位角[度]",
"1","1","1","3.5","0.0041","0","0","92.8888888888889","-77","-49",
"1","1","2","2.9","0.004","0","0","92.8888888888889","-66","-75",
"1","1","3","2.7","0.0039","0","0","95.2111111111111","-53","-86",
"1","1","4","1.8","0.0037","0","0","94.05","-40","-86",
"1","1","5","1.3","0.0035","0","0","96.3722222222222","-28","-79",
"1","1","6","0.8","0.0034","0","0","97.5333333333333","-15","-72",
"1","1","7","0.4","0.0034","2.32222222222222","2.32222222222222","95.2111111111111","-4","-65",
"1","1","8","0.9","0.0034","451.672222222222","38.3166666666667","97.5333333333333","8","-57",
"1","1","9","3.1","0.0036","593.327777777778","77.7944444444445","99.8555555555555","18","-47",
"1","1","10","7.4","0.0039","696.666666666667","97.5333333333333","104.5","26","-35",
"1","1","11","9.6","0.0031","788.394444444444","99.8555555555555","112.627777777778","32","-21",
"1","1","12","10.4","0.0031","851.094444444444","91.7277777777778","113.788888888889","35","-5",
"1","1","13","11.5","0.0033","826.711111111111","97.5333333333333","113.788888888889","34","12",
"1","1","14","11.7","0.0034","770.977777777778","97.5333333333333","112.627777777778","30","27",
"1","1","15","12.4","0.0036","599.133333333333","99.8555555555555","113.788888888889","23","41",
"1","1","16","11.7","0.0039","391.294444444444","75.4722222222222","109.144444444444","14","51",
"1","1","17","11","0.0043","335.561111111111","16.2555555555556","105.661111111111","3","60",
"1","1","18","10.4","0.0045","0","0","103.338888888889","-8","68",
"1","1","19","7.6","0.0046","0","0","99.8555555555555","-21","75",
"1","1","20","6.2","0.0046","0","0","98.6944444444444","-33","82",
"1","1","21","5.5","0.0045","0","0","97.5333333333333","-46","89",
"1","1","22","5.5","0.0045","0","0","97.5333333333333","-58","82",
"1","1","23","4.6","0.0042","0","0","98.6944444444444","-71","67",
"1","1","24","4","0.0041","0","0","98.6944444444444","-80","24",
"1","2","1","3.3","0.004","0","0","97.5333333333333","-77","-49",
"1","2","2","2.8","0.0039","0","0","98.6944444444444","-66","-75",
"1","2","3","2.7","0.0038","0","0","97.5333333333333","-53","-86",
"1","2","4","2.2","0.0037","0","0","98.6944444444444","-40","-86",
"1","2","5","2","0.0037","0","0","97.5333333333333","-28","-79",
"1","2","6","1.9","0.0037","0","0","96.3722222222222","-15","-72",
"1","2","7","1.9","0.0037","0","0","96.3722222222222","-4","-65",
"1","2","8","2.1","0.0037","355.3","38.3166666666667","97.5333333333333","8","-57",
"1","2","9","4","0.0041","532.95","83.6","98.6944444444444","18","-47",
"1","2","10","8","0.0045","668.8","105.661111111111","102.177777777778","26","-35",
