"月","日","時","外気温[℃]","外気絶対湿度 [kg/kgDA]","法線面直達日射量 [W/m2]","水平面天空日射量 [W/m2]","水平面夜間放射量 [W/m2]","太陽高度角[度]","太陽方位角[度]",
"1","1","1","-13","0.0013","0","0","48.7666666666667","-62","-50",
"1","1","2","-14.2","0.0013","0","0","49.9277777777778","-52","-69",
"1","1","3","-15","0.0012","0","0","52.25","-42","-82",
"1","1","4","-16.2","0.001","0","0","55.7333333333333","-31","-87",
"1","1","5","-16.7","0.001","0","0","59.2166666666667","-20","-77",
"1","1","6","-17.9","0.0009","0","0","60.3777777777778","-10","-68",
"1","1","7","-17.5","0.0009","2.32222222222222","5.80555555555556","61.5388888888889","-1","-58",
"1","1","8","-16.7","0.001","277.505555555556","44.1222222222222","61.5388888888889","8","-47",
"1","1","9","-15.6","0.0011","613.066666666667","61.5388888888889","82.4388888888889","15","-35",
"1","1","10","-11.6","0.0015","818.583333333333","52.25","90.5666666666666","20","-21",
"1","1","11","-11.6","0.0015","846.45","58.0555555555556","90.5666666666666","23","-7",
"1","1","12","-11.3","0.0015","856.9","55.7333333333333","89.4055555555555","23","8",
"1","1","13","-9.4","0.0017","798.844444444444","55.7333333333333","91.7277777777778","20","23",
"1","1","14","-7.2","0.0017","662.994444444444","55.7333333333333","95.2111111111111","15","36",
"1","1","15","-7.8","0.0017","215.966666666667","41.8","65.0222222222222","7","48",
"1","1","16","-9.3","0.0017","2.32222222222222","2.32222222222222","61.5388888888889","-1","59",
"1","1","17","-10.3","0.0017","0","0","59.2166666666667","-11","69",
"1","1","18","-10.5","0.0017","0","0","59.2166666666667","-21","78",
"1","1","19","-12","0.0015","0","0","58.0555555555556","-32","88",
"1","1","20","-12.5","0.0014","0","0","55.7333333333333","-43","81",
"1","1","21","-13.4","0.0013","0","0","55.7333333333333","-53","68",
"1","1","22","-14.1","0.0012","0","0","55.7333333333333","-63","48",
"1","1","23","-14.7","0.0012","0","0","53.4111111111111","-68","17",
"1","1","24","-14.4","0.0012","0","0","54.5722222222222","-68","-20",
"1","2","1","-14.6","0.0012","0","0","53.4111111111111","-62","-50",
"1","2","2","-15","0.0011","0","0","52.25","-53","-69",
"1","2","3","-15.4","0.0011","0","0","51.0888888888889","-42","-82",
"1","2","4","-15.9","0.001","0","0","51.0888888888889","-31","-87",
"1","2","5","-16.4","0.001","0","0","49.9277777777778","-21","-77",
"1","2","6","-16.4","0.001","0","0","49.9277777777778","-10","-68",
"1","2","7","-16.4","0.001","2.32222222222222","5.80555555555556","48.7666666666667","-1","-58",
"1","2","8","-15","0.0011","113.788888888889","41.8","48.7666666666667","8","-47",
"1","2","9","-12.9","0.0014","541.077777777778","69.6666666666667","76.6333333333333","15","-35",
"1","2","10","-10","0.0017","197.388888888889","127.722222222222","58.0555555555556","20","-22",
"1","2","11","-11.7","0.0015","349.494444444444","138.172222222222","65.0222222222222","23","-7",
"1","2","12","-10.1","0.0017","541.077777777778","111.466666666667","74.3111111111111","23","8",
"1","2","13","-7.8","0.0021","243.833333333333","125.4","61.5388888888889","20","23",
"1","2","14","-7.8","0.0021","47.6055555555556","69.6666666666667","42.9611111111111","15","36",
"1","2","15","-6.8","0.0022","47.6055555555556","33.6722222222222","40.6388888888889","7","48",
"1","2","16","-8.4","0.002","2.32222222222222","2.32222222222222","42.9611111111111","-1","59",
"1","2","17","-7.6","0.0021","0","0","42.9611111111111","-11","69",
"1","2","18","-9","0.0019","0","0","42.9611111111111","-21","78",
"1","2","19","-9.7","0.0018","0","0","42.9611111111111","-32","88",
"1","2","20","-10.5","0.0017","0","0","41.8","-43","81",
"1","2","21","-9.4","0.0018","0","0","40.6388888888889","-53","68",
"1","2","22","-11.3","0.0016","0","0","41.8","-62","48",
"1","2","23","-11.7","0.0015","0","0","42.9611111111111","-68","18",
"1","2","24","-12.7","0.0014","0","0","41.8","-68","-20",
"1","3","1","-13.4","0.0013","0","0","41.8","-62","-49",
"1","3","2","-11.4","0.0015","0","0","44.1222222222222","-53","-69",
"1","3","3","-10.5","0.0017","0","0","41.8","-42","-82",
"1","3","4","-12.1","0.0015","0","0","44.1222222222222","-31","-87",
"1","3","5","-10.8","0.0016","0","0","44.1222222222222","-21","-78",
"1","3","6","-11.3","0.0016","0","0","44.1222222222222","-10","-68",
"1","3","7","-11.9","0.0015","2.32222222222222","5.80555555555556","41.8","-1","-58",
"1","3","8","-10.3","0.0017","66.1833333333333","38.3166666666667","42.9611111111111","8","-47",
"1","3","9","-10.2","0.0017","163.716666666667","88.2444444444444","56.8944444444444","15","-35",
