日付,暖冷房,換気,給湯,照明,家電,調理
4月25日,平日,平日,平日（小）,平日,平日,平日
4月26日,平日,平日,平日（中）,平日,平日,平日
4月27日,平日,平日,平日（中）,平日,平日,平日
4月28日,平日,平日,平日（中）,平日,平日,平日
4月29日,休日,休日在,休日在宅（小）,休日在,休日在,休日在
4月30日,休日,休日外,休日外出,休日外,休日外,休日外
5月1日,平日,平日,平日（中）,平日,平日,平日
5月2日,平日,平日,平日（小）,平日,平日,平日
5月3日,休日,休日外,休日外出,休日外,休日外,休日外
5月4日,休日,休日外,休日外出,休日外,休日外,休日外
5月5日,休日,休日在,休日在宅（小）,休日在,休日在,休日在
5月6日,休日,休日在,休日在宅（小）,休日在,休日在,休日在
5月7日,休日,休日在,休日在宅（大）,休日在,休日在,休日在
5月8日,平日,平日,平日（中）,平日,平日,平日
5月9日,平日,平日,平日（小）,平日,平日,平日
5月10日,平日,平日,平日（中）,平日,平日,平日
5月11日,平日,平日,平日（中）,平日,平日,平日
5月12日,平日,平日,平日（中）,平日,平日,平日
5月13日,休日,休日在,休日在宅（小）,休日在,休日在,休日在
5月14日,休日,休日外,休日外出,休日外,休日外,休日外
5月15日,平日,平日,平日（中）,平日,平日,平日
5月16日,平日,平日,平日（小）,平日,平日,平日
5月17日,平日,平日,平日（大）,平日,平日,平日
5月18日,平日,平日,平日（小）,平日,平日,平日
5月19日,平日,平日,平日（中）,平日,平日,平日
5月20日,休日,休日在,休日在宅（小）,休日在,休日在,休日在
5月21日,休日,休日在,休日在宅（大）,休日在,休日在,休日在
5月22日,平日,平日,平日（中）,平日,平日,平日
5月23日,平日,平日,平日（小）,平日,平日,平日
5月24日,平日,平日,平日（中）,平日,平日,平日
5月25日,平日,平日,平日（中）,平日,平日,平日
5月26日,平日,平日,平日（中）,平日,平日,平日
5月27日,休日,休日在,休日在宅（小）,休日在,休日在,休日在
5月28日,休日,休日外,休日外出,休日外,休日外,休日外
5月29日,平日,平日,平日（中）,平日,平日,平日
5月30日,平日,平日,平日（小）,平日,平日,平日
5月31日,平日,平日,平日（大）,平日,平日,平日
6月1日,平日,平日,平日（小）,平日,平日,平日
6月2日,平日,平日,平日（中）,平日,平日,平日
6月3日,休日,休日在,休日在宅（小）,休日在,休日在,休日在
6月4日,休日,休日在,休日在宅（大）,休日在,休日在,休日在
6月5日,平日,平日,平日（中）,平日,平日,平日
6月6日,平日,平日,平日（小）,平日,平日,平日
6月7日,平日,平日,平日（中）,平日,平日,平日
6月8日,平日,平日,平日（中）,平日,平日,平日
6月9日,平日,平日,平日（中）,平日,平日,平日
6月10日,休日,休日在,休日在宅（小）,休日在,休日在,休日在
6月11日,休日,休日外,休日外出,休日外,休日外,休日外
