áTaçfì‡ (124-A4),,,,,,,
äOãCâ∑[Åé],ñ@ê¸ñ íºíBì˙éÀó (Watanabe)[MJ/hm2],êÖïΩñ ìVãÛì˙éÀó (Watanabe)[MJ/hm2],ëæózçÇìxäp[Åã],ëæózï˚à äp[Åã],,,
-14.3,0,0,0,0,,,
-16.3,0,0,0,0,,,
-18,0,0,0,0,,,
-19.8,0,0,0,0,,,
-20.8,0,0,0,0,,,
-21.6,0,0,0,0,,,
-22.2,0,0,0,0,,,
-21.9,0,0,0,0,,,
-22.8,0,0,0,0,,,
-23,0,0,0,0,,,
-23.3,0,0,0,0,,,
-23.9,0,0,0,0,,,
-23.7,0,0,0,0,,,
-23.7,0,0,0,0,,,
-24.5,0.01,0.02,0,0,,,
-22.9,2.01,0.17,8.5,-48.6,,,
-18.5,3.03,0.19,16,-36.6,,,
-13.3,3.48,0.19,21.5,-23.2,,,
-9.3,3.62,0.2,24.5,-8.4,,,
-7.1,3.62,0.2,24.7,6.8,,,
-5.8,3.5,0.19,21.9,21.6,,,
-5.3,3.03,0.2,16.7,35.3,,,
-4.7,2.19,0.17,9.4,47.4,,,
-7.8,0.04,0.03,0.6,58.2,,,
-12.3,0,0,0,0,,,
-14.4,0,0,0,0,,,
-16.3,0,0,0,0,,,
-17.8,0,0,0,0,,,
-19,0,0,0,0,,,
-19.7,0,0,0,0,,,
-20.4,0,0,0,0,,,
-21,0,0,0,0,,,
-21,0,0,0,0,,,
-21.9,0,0,0,0,,,
-21.8,0,0,0,0,,,
-22.1,0,0,0,0,,,
-22.5,0,0,0,0,,,
-22.7,0,0,0,0,,,
-22.6,0.01,0.02,0,0,,,
-21.3,1.93,0.17,8.6,-48.8,,,
-17.9,2.85,0.21,16.1,-36.8,,,
-13.4,3.27,0.23,21.6,-23.3,,,
-9.4,3.43,0.23,24.6,-8.6,,,
-7.5,3.43,0.23,24.8,6.7,,,
-6,3.29,0.23,22.1,21.6,,,
-4.5,2.88,0.22,16.9,35.2,,,
-4.5,1.31,0.21,9.6,47.4,,,
-6.7,0.04,0.03,0.8,58.2,,,
-6.7,0,0,0,0,,,
-9.4,0,0,0,0,,,
-12,0,0,0,0,,,
-14.3,0,0,0,0,,,
-15.2,0,0,0,0,,,
-14.5,0,0,0,0,,,
-14.5,0,0,0,0,,,
-14.5,0,0,0,0,,,
-15.2,0,0,0,0,,,
-16.7,0,0,0,0,,,
-17.4,0,0,0,0,,,
-17.5,0,0,0,0,,,
-18.5,0,0,0,0,,,
-16.5,0,0,0,0,,,
-15.8,0.01,0.02,0,0,,,
-14.9,1.69,0.18,8.6,-48.9,,,
-12.4,2.81,0.22,16.1,-37,,,
-9.5,3.31,0.22,21.7,-23.5,,,
-6.2,3.43,0.23,24.8,-8.7,,,
-3.5,3.44,0.23,25,6.6,,,
-1.5,3.32,0.23,22.3,21.5,,,
-0.5,2.89,0.22,17,35.2,,,
-1.8,2.08,0.18,9.8,47.4,,,
-4.4,0.09,0.04,1,58.3,,,
-8.9,0,0,0,0,,,
-10.7,0,0,0,0,,,
-11.5,0,0,0,0,,,
-12.1,0,0,0,0,,,
-12.2,0,0,0,0,,,
-12.2,0,0,0,0,,,
-11.8,0,0,0,0,,,
-11.2,0,0,0,0,,,
-9.7,0,0,0,0,,,
-8.5,0,0,0,0,,,
-7.6,0,0,0,0,,,
-8.2,0,0,0,0,,,
-7.9,0,0,0,0,,,
-7.7,0,0,0,0,,,
-5.5,0.01,0.02,0,0,,,
-6.1,0.45,0.19,8.7,-49.1,,,
-4.6,2.41,0.28,16.2,-37.1,,,
-2.9,2.86,0.3,21.8,-23.6,,,
-2.2,3,0.32,24.9,-8.8,,,
-1.8,3.03,0.32,25.1,6.5,,,
-1.7,2.88,0.31,22.4,21.5,,,
-2,2.16,0.32,17.2,35.2,,,
-2.5,1.78,0.2,9.9,47.4,,,
-4,0.09,0.04,1.2,58.3,,,
-7,0,0,0,0,,,
-8.8,0,0,0,0,,,
-5.4,0,0,0,0,,,
-6,0,0,0,0,,,
-6.3,0,0,0,0,,,
-8.8,0,0,0,0,,,
-6.9,0,0,0,0,,,
-7,0,0,0,0,,,
-7.1,0,0,0,0,,,
-9.4,0,0,0,0,,,
-10.4,0,0,0,0,,,
-15.1,0,0,0,0,,,
-17.1,0,0,0,0,,,
-18.4,0,0,0,0,,,
-18.9,0.01,0.02,0,0,,,
-17.9,1.95,0.17,8.8,-49.3,,,
-15,2.88,0.21,16.3,-37.3,,,
-10.3,3.39,0.21,21.9,-23.8,,,
-4.5,3.5,0.22,25,-8.9,,,
-3.7,3.52,0.22,25.3,6.5,,,
-3.1,3.39,0.22,22.6,21.4,,,
-3.2,3,0.21,17.4,35.2,,,
-3.6,2.21,0.18,10.1,47.4,,,
-4.7,0.17,0.04,1.3,58.3,,,
-8.6,0,0,0,0,,,
-12.2,0,0,0,0,,,
-13.8,0,0,0,0,,,
-15.5,0,0,0,0,,,
-17.4,0,0,0,0,,,
-18.9,0,0,0,0,,,
-19.7,0,0,0,0,,,
-19.7,0,0,0,0,,,
-21.2,0,0,0,0,,,
-22.1,0,0,0,0,,,
-22.1,0,0,0,0,,,
-22.2,0,0,0,0,,,
-22.7,0,0,0,0,,,
-21.9,0,0,0,0,,,
-22.4,0.01,0.02,0,0,,,
-21,1.93,0.17,8.9,-49.5,,,
-16.9,2.84,0.22,16.4,-37.4,,,
-12.9,3.29,0.23,22.1,-23.9,,,
-7.5,3.41,0.24,25.2,-9.1,,,
-3,3.43,0.24,25.4,6.4,,,
-2.3,3.31,0.23,22.8,21.4,,,
-3.1,2.55,0.28,17.6,35.2,,,
-3,1.16,0.23,10.3,47.5,,,
-4.6,0.25,0.06,1.5,58.4,,,
-7.8,0,0,0,0,,,
-10.9,0,0,0,0,,,
-13.4,0,0,0,0,,,
-13.9,0,0,0,0,,,
-14.6,0,0,0,0,,,
-15.9,0,0,0,0,,,
-15.9,0,0,0,0,,,
-16.9,0,0,0,0,,,
-17.2,0,0,0,0,,,
-17,0,0,0,0,,,
-18.2,0,0,0,0,,,
-19.2,0,0,0,0,,,
-19.7,0,0,0,0,,,
-21.1,0,0,0,0,,,
-21.3,0.01,0.02,0,0,,,
-20,1.97,0.17,8.9,-49.6,,,
-17.4,2.86,0.22,16.5,-37.6,,,
-13.6,3.36,0.22,22.2,-24.1,,,
-9.4,3.52,0.22,25.3,-9.2,,,
-6.8,3.49,0.23,25.6,6.3,,,
-4.8,3.37,0.23,23,21.4,,,
-3.9,2.99,0.22,17.8,35.2,,,
-4.7,2.01,0.2,10.5,47.5,,,
-6.7,0.09,0.04,1.7,58.4,,,
-10.5,0,0,0,0,,,
-12.9,0,0,0,0,,,
-13.7,0,0,0,0,,,
-13.8,0,0,0,0,,,
-14,0,0,0,0,,,
-14.7,0,0,0,0,,,
-15.3,0,0,0,0,,,
-15.4,0,0,0,0,,,
-13.5,0,0,0,0,,,
-12.2,0,0,0,0,,,
-11.5,0,0,0,0,,,
-10.5,0,0,0,0,,,
-9.7,0,0,0,0,,,
