áWbëÂí√ (551-A1),,,,,,,
äOãCâ∑[Åé],ñ@ê¸ñ íºíBì˙éÀó (Watanabe)[MJ/hm2],êÖïΩñ ìVãÛì˙éÀó (Watanabe)[MJ/hm2],ëæózçÇìxäp[Åã],ëæózï˚à äp[Åã],,,
13.9,0.05,0.44,39.3,-65.2,,,
14.4,0.06,0.54,49.7,-50.1,,,
14.3,0,0.5,57.6,-28.4,,,
14.3,0,0.34,60.6,0.3,,,
14.3,0.02,0.32,57.5,28.9,,,
14.5,0,0.29,49.6,50.4,,,
14.2,0.03,0.22,39.1,65.4,,,
14.1,0.02,0.22,27.5,76.7,,,
12.4,0.06,0.15,15.4,86,,,
11.8,0.06,0.03,3.1,94.7,,,
11,0,0,0,0,,,
10.9,0,0,0,0,,,
10.4,0,0,0,0,,,
9.5,0,0,0,0,,,
8.5,0,0,0,0,,,
7.9,0,0,0,0,,,
7.3,0,0,0,0,,,
7.1,0,0,0,0,,,
6.8,0,0,0,0,,,
6.4,0,0,0,0,,,
5.4,0,0,0,0,,,
4.8,0.24,0.05,3.6,-94.8,,,
5.9,0.44,0.26,15.9,-86.2,,,
6.9,0.34,0.48,28,-76.8,,,
8.2,0.67,0.74,39.6,-65.5,,,
8.9,0.38,0.9,50.1,-50.4,,,
9.6,0.37,1.02,57.9,-28.6,,,
9.7,0.66,1.1,61,0.4,,,
9.3,0.18,0.88,57.8,29.3,,,
10.6,0.89,0.9,49.8,50.8,,,
9.4,1.07,0.68,39.3,65.9,,,
9.4,0.29,0.46,27.7,77.1,,,
8.1,0.38,0.26,15.5,86.4,,,
7.2,0.32,0.05,3.3,95,,,
6.9,0,0,0,0,,,
6.1,0,0,0,0,,,
5.7,0,0,0,0,,,
5.5,0,0,0,0,,,
6.5,0,0,0,0,,,
6,0,0,0,0,,,
6.5,0,0,0,0,,,
6.9,0,0,0,0,,,
6.3,0,0,0,0,,,
6.7,0,0,0,0,,,
7.2,0,0,0,0,,,
7.2,0.47,0.06,3.9,-95.1,,,
8.2,1.38,0.22,16.1,-86.5,,,
9.8,2.02,0.28,28.3,-77.1,,,
11.9,2.21,0.35,39.9,-65.8,,,
13.8,2.26,0.42,50.4,-50.6,,,
15,0.65,1.06,58.3,-28.8,,,
15.8,0.82,1.09,61.4,0.6,,,
15.1,0.82,1.05,58.1,29.7,,,
17.1,1.06,0.87,50.1,51.3,,,
16.6,0.5,0.74,39.5,66.3,,,
16.4,2.03,0.27,27.9,77.5,,,
15.7,1.39,0.22,15.7,86.8,,,
14.1,0.28,0.05,3.4,95.4,,,
11.8,0,0,0,0,,,
11.3,0,0,0,0,,,
10.1,0,0,0,0,,,
8.8,0,0,0,0,,,
8.6,0,0,0,0,,,
7.5,0,0,0,0,,,
6.9,0,0,0,0,,,
6.2,0,0,0,0,,,
5.8,0,0,0,0,,,
5.3,0,0,0,0,,,
5,0,0,0,0,,,
5.1,0.05,0.04,4.1,-95.3,,,
6.4,0.06,0.16,16.4,-86.7,,,
7.8,0.06,0.3,28.6,-77.4,,,
9.1,0.05,0.44,40.2,-66.1,,,
9.9,0.05,0.56,50.7,-50.9,,,
9.8,0.05,0.65,58.7,-28.9,,,
9.8,0.04,0.5,61.8,0.7,,,
10.2,0,0.33,58.4,30.1,,,
10.3,0,0.3,50.3,51.8,,,
9.5,0.02,0.23,39.7,66.7,,,
9.6,0.01,0.16,28,77.9,,,
9.9,0.02,0.11,15.9,87.1,,,
10.2,0.07,0.03,3.6,95.7,,,
9.9,0,0,0,0,,,
9.9,0,0,0,0,,,
10,0,0,0,0,,,
9.9,0,0,0,0,,,
9.8,0,0,0,0,,,
10.1,0,0,0,0,,,
10.2,0,0,0,0,,,
10.1,0,0,0,0,,,
10,0,0,0,0,,,
9.9,0,0,0,0,,,
10,0,0,0,0,,,
10.5,0.02,0.03,4.4,-95.6,,,
10.4,0.02,0.11,16.7,-87,,,
12.8,0.02,0.2,28.9,-77.7,,,
11.4,0.02,0.28,40.5,-66.4,,,
9.4,0.02,0.54,51.1,-51.2,,,
10,0.1,0.74,59.1,-29.1,,,
13.7,0.3,1.05,62.1,0.9,,,
13.6,0.2,0.94,58.7,30.5,,,
15.7,0.75,0.94,50.5,52.2,,,
14.1,0.21,0.65,39.9,67.1,,,
13.6,0.66,0.51,28.2,78.3,,,
13.5,0.91,0.26,16,87.5,,,
13.3,0.11,0.04,3.7,96.1,,,
11.8,0,0,0,0,,,
11.5,0,0,0,0,,,
10.1,0,0,0,0,,,
9.3,0,0,0,0,,,
8.1,0,0,0,0,,,
7.4,0,0,0,0,,,
6.7,0,0,0,0,,,
6.9,0,0,0,0,,,
7.4,0,0,0,0,,,
6.8,0,0,0,0,,,
7.3,0,0,0,0,,,
8.9,0.42,0.07,4.7,-95.9,,,
9.1,1.1,0.26,17,-87.3,,,
12.8,2.08,0.27,29.1,-78,,,
14.5,2.22,0.35,40.8,-66.8,,,
16.3,2.29,0.42,51.4,-51.5,,,
17.2,2.31,0.46,59.4,-29.3,,,
17,2.31,0.49,62.5,1,,,
17.9,2.33,0.46,59,31,,,
18.2,2.29,0.41,50.8,52.7,,,
18.1,2.22,0.34,40.1,67.6,,,
18.2,1.82,0.33,28.4,78.6,,,
16.7,0.27,0.25,16.2,87.9,,,
15.5,0.34,0.06,3.9,96.4,,,
14.2,0,0,0,0,,,
13.4,0,0,0,0,,,
12.4,0,0,0,0,,,
11.5,0,0,0,0,,,
10.6,0,0,0,0,,,
10.2,0,0,0,0,,,
9.8,0,0,0,0,,,
9.2,0,0,0,0,,,
9.6,0,0,0,0,,,
8.5,0,0,0,0,,,
8.7,0,0,0,0,,,
8.9,0.1,0.06,4.9,-96.1,,,
9.8,0.1,0.2,17.2,-87.6,,,
11.2,0.1,0.37,29.4,-78.3,,,
12.6,0.14,0.6,41.1,-67.1,,,
14.6,1.24,0.84,51.7,-51.8,,,
15.7,0.2,0.95,59.8,-29.4,,,
15.8,0.42,1.1,62.9,1.2,,,
16.4,0.42,1.06,59.3,31.4,,,
17.4,0.1,0.66,51,53.2,,,
17.6,0.09,0.52,40.3,68,,,
17.6,1.18,0.46,28.5,79,,,
18.3,0.17,0.22,16.3,88.2,,,
16.6,0.14,0.05,4,96.8,,,
15.5,0,0,0,0,,,
14.8,0,0,0,0,,,
14.5,0,0,0,0,,,
13,0,0,0,0,,,
12.7,0,0,0,0,,,
12,0,0,0,0,,,
10.8,0,0,0,0,,,
10.3,0,0,0,0,,,
9.3,0,0,0,0,,,
8.9,0,0,0,0,,,
8.8,0,0,0,0,,,
8.4,0.26,0.07,5.2,-96.4,,,
9.9,0.74,0.3,17.5,-87.9,,,
11.9,2.02,0.3,29.7,-78.6,,,
14.5,2.16,0.38,41.4,-67.4,,,
15.9,2.21,0.46,52.1,-52.2,,,
19.1,2.22,0.51,60.2,-29.6,,,
20.1,2.23,0.53,63.2,1.4,,,
22.4,1.04,1.02,59.7,31.8,,,
22.4,2.22,0.45,51.2,53.6,,,
21.2,1.83,0.48,40.5,68.4,,,
20.6,2,0.29,28.7,79.4,,,
19.8,0.59,0.28,16.5,88.6,,,
19,0.29,0.06,4.2,97.1,,,
18.3,0,0,0,0,,,
17.5,0,0,0,0,,,
15.9,0,0,0,0,,,
15.3,0,0,0,0,,,
14.9,0,0,0,0,,,
13.6,0,0,0,0,,,
12.5,0,0,0,0,,,
11.6,0,0,0,0,,,
11.4,0,0,0,0,,,
11,0,0,0,0,,,
10.8,0,0,0,0,,,
10.8,0.19,0.07,5.5,-96.7,,,
12.5,1.49,0.23,17.7,-88.1,,,
16.1,1.55,0.41,29.9,-78.9,,,
18.4,1.66,0.55,41.7,-67.7,,,
19,1.71,0.67,52.4,-52.5,,,
20.2,2.07,0.59,60.5,-29.8,,,
20.9,0.9,1.1,63.6,1.5,,,
20.2,0.9,1.06,60,32.3,,,
20,0.57,0.95,51.5,54.1,,,
18.9,0.22,0.68,40.7,68.9,,,
18.6,0.16,0.42,28.8,79.8,,,
18,0.18,0.23,16.6,88.9,,,
17.4,0.2,0.06,4.4,97.4,,,
16.2,0,0,0,0,,,
15.8,0,0,0,0,,,
15.9,0,0,0,0,,,
15.6,0,0,0,0,,,
15.6,0,0,0,0,,,
15.1,0,0,0,0,,,
15.5,0,0,0,0,,,
14.8,0,0,0,0,,,
14.4,0,0,0,0,,,
14.5,0,0,0,0,,,
14.6,0,0,0,0,,,
14.6,0.06,0.05,5.7,-96.9,,,
16,0.05,0.18,18,-88.4,,,
15.8,0.06,0.31,30.2,-79.2,,,
15.4,0.03,0.34,42,-68,,,
15.3,0,0.47,52.7,-52.8,,,
16.1,0.03,0.48,60.9,-30,,,
17,0,0.34,64,1.7,,,
17,0,0.34,60.3,32.7,,,
16.2,0,0.3,51.7,54.6,,,
16.7,0,0.25,40.8,69.3,,,
16.6,0.01,0.17,29,80.2,,,
15.9,0.02,0.09,16.8,89.3,,,
15.8,0.01,0.02,4.5,97.8,,,
15.7,0,0,0,0,,,
15.4,0,0,0,0,,,
15.6,0,0,0,0,,,
15.9,0,0,0,0,,,
15.2,0,0,0,0,,,
14.7,0,0,0,0,,,
14.9,0,0,0,0,,,
14.7,0,0,0,0,,,
14.7,0,0,0,0,,,
13.8,0,0,0,0,,,
13.6,0,0,0,0,,,
13.3,0.08,0.06,6,-97.2,,,
13.3,0.07,0.2,18.3,-88.7,,,
12.6,0.06,0.37,30.5,-79.5,,,
12.6,0.08,0.5,42.3,-68.3,,,
12.3,0.08,0.64,53,-53.1,,,
12.9,0.07,0.74,61.2,-30.2,,,
12.7,0.1,0.74,64.3,1.9,,,
13,0.07,0.72,60.5,33.2,,,
14.3,0.18,0.82,51.9,55.1,,,
15.3,0.75,0.76,41,69.7,,,
15.8,0.86,0.51,29.2,80.6,,,
15.5,0.22,0.25,16.9,89.6,,,
14.9,0.1,0.05,4.7,98.1,,,
13.9,0,0,0,0,,,
12.8,0,0,0,0,,,
12.4,0,0,0,0,,,
12.7,0,0,0,0,,,
11.4,0,0,0,0,,,
11.7,0,0,0,0,,,
10.9,0,0,0,0,,,
9.8,0,0,0,0,,,
9.6,0,0,0,0,,,
9.5,0,0,0,0,,,
7.9,0,0,0,0,,,
8.3,0.1,0.07,6.2,-97.5,,,
10.7,0.5,0.31,18.5,-89,,,
13.3,0.31,0.52,30.7,-79.8,,,
13,0.31,0.75,42.5,-68.7,,,
16.4,0.54,0.98,53.3,-53.4,,,
14.6,0.2,0.95,61.6,-30.4,,,
15.7,0.2,0.98,64.7,2,,,
15.4,0.4,1.07,60.8,33.6,,,
15.4,0.09,0.65,52.1,55.5,,,
12,0.08,0.51,41.2,70.1,,,
11.7,0.09,0.36,29.3,80.9,,,
11.8,0.04,0.16,17.1,90,,,
11.5,0.03,0.04,4.8,98.5,,,
11.1,0,0,0,0,,,
10.6,0,0,0,0,,,
10.9,0,0,0,0,,,
9.7,0,0,0,0,,,
9.2,0,0,0,0,,,
8.6,0,0,0,0,,,
8.6,0,0,0,0,,,
7.7,0,0,0,0,,,
7.4,0,0,0,0,,,
7.2,0,0,0,0,,,
6.9,0,0,0,0,,,
6.2,0.26,0.09,6.5,-97.7,,,
8.7,1.41,0.26,18.8,-89.3,,,
11.1,1.98,0.32,31,-80.1,,,
13.6,2.07,0.42,42.8,-69,,,
14.7,1.16,0.9,53.6,-53.8,,,
15.3,0.22,0.98,61.9,-30.6,,,
14.1,0.41,1.12,65,2.2,,,
14.7,1.16,0.99,61.1,34,,,
13.9,1.79,0.64,52.4,56,,,
14.8,0.45,0.76,41.4,70.6,,,
12.8,0.24,0.47,29.5,81.3,,,
12.2,0.17,0.24,17.2,90.3,,,
12.2,0.18,0.06,5,98.8,,,
11.9,0,0,0,0,,,
11.1,0,0,0,0,,,
9.6,0,0,0,0,,,
10.5,0,0,0,0,,,
9.1,0,0,0,0,,,
8.6,0,0,0,0,,,
7.6,0,0,0,0,,,
8.2,0,0,0,0,,,
8.6,0,0,0,0,,,
7.4,0,0,0,0,,,
7.1,0,0,0,0,,,
7.7,0.09,0.07,6.7,-98,,,
9.2,0.07,0.21,19,-89.5,,,
11.2,0.13,0.43,31.2,-80.4,,,
12.4,0.7,0.8,43.1,-69.3,,,
12.7,0.7,0.98,53.9,-54.1,,,
14,0.1,0.85,62.3,-30.8,,,
13.3,0.12,0.87,65.4,2.4,,,
12.4,0.02,0.57,61.4,34.5,,,
11.5,0.04,0.47,52.6,56.5,,,
12.5,0.06,0.5,41.5,71,,,
13,0.06,0.35,29.6,81.7,,,
12.5,0.07,0.19,17.4,90.7,,,
11.9,0.06,0.05,5.1,99.1,,,
10.8,0,0,0,0,,,
10.6,0,0,0,0,,,
10,0,0,0,0,,,
9.2,0,0,0,0,,,
8,0,0,0,0,,,
8.4,0,0,0,0,,,
8.4,0,0,0,0,,,
8.2,0,0,0,0,,,
7.1,0,0,0,0,,,
6.7,0,0,0,0,,,
6.1,0,0,0,0,,,
6.1,0.09,0.08,7,-98.2,,,
7.8,0.17,0.27,19.2,-89.8,,,
8.9,0.08,0.39,31.5,-80.7,,,
9.2,0.14,0.63,43.3,-69.7,,,
10.2,0.3,0.94,54.2,-54.4,,,
11.8,0.56,1.12,62.6,-31,,,
11.9,0.42,1.14,65.7,2.5,,,
13.1,0.56,1.1,61.7,35,,,
12.5,0.2,0.85,52.8,56.9,,,
11.4,0.09,0.53,41.7,71.4,,,
11.3,0.14,0.42,29.8,82.1,,,
10.7,0.13,0.22,17.5,91,,,
9.8,0.09,0.06,5.3,99.4,,,
8.7,0,0,0,0,,,
8.2,0,0,0,0,,,
7.4,0,0,0,0,,,
7.2,0,0,0,0,,,
7,0,0,0,0,,,
6.2,0,0,0,0,,,
5.8,0,0,0,0,,,
5.5,0,0,0,0,,,
4.7,0,0,0,0,,,
4.4,0,0,0,0,,,
4,0,0,0,0,,,
5,0.26,0.1,7.2,-98.5,,,
6.7,0.37,0.33,19.5,-90.1,,,
7.7,0.18,0.48,31.7,-81,,,
8.4,0.17,0.67,43.6,-70,,,
9.8,0.24,0.9,54.5,-54.8,,,
11.5,0.46,1.1,63,-31.2,,,
13.4,2.23,0.54,66.1,2.7,,,
14.1,2.22,0.51,62,35.4,,,
14.9,2.21,0.46,53,57.4,,,
14.7,2.17,0.38,41.9,71.8,,,
14.8,2.02,0.3,29.9,82.4,,,
14.3,1.61,0.22,17.7,91.4,,,
12.7,0.56,0.08,5.4,99.7,,,
11.6,0,0,0,0,,,
10.3,0,0,0,0,,,
9.2,0,0,0,0,,,
9.2,0,0,0,0,,,
8.6,0,0,0,0,,,
6.5,0,0,0,0,,,
6.3,0,0,0,0,,,
5.9,0,0,0,0,,,
6.3,0,0,0,0,,,
5.9,0,0,0,0,,,
6.2,0,0,0,0,,,
6.5,0.08,0.08,7.5,-98.8,,,
7.6,0.07,0.22,19.7,-90.4,,,
9,0.13,0.44,32,-81.3,,,
10.9,0.4,0.79,43.9,-70.3,,,
13.9,0.26,0.92,54.8,-55.1,,,
16,0.51,1.12,63.3,-31.5,,,
16.6,0.06,0.77,66.4,2.8,,,
16.8,0.1,0.7,62.2,35.9,,,
16.5,0.06,0.64,53.2,57.9,,,
16.2,0.12,0.58,42.1,72.2,,,
16.6,0.07,0.34,30.1,82.8,,,
14.7,0.07,0.19,17.8,91.7,,,
13.8,0.08,0.06,5.6,100.1,,,
13,0,0,0,0,,,
12.8,0,0,0,0,,,
12.1,0,0,0,0,,,
12.1,0,0,0,0,,,
11.4,0,0,0,0,,,
11.1,0,0,0,0,,,
11.1,0,0,0,0,,,
11.1,0,0,0,0,,,
11.2,0,0,0,0,,,
11.2,0,0,0,0,,,
11.3,0,0,0,0,,,
11.2,0.03,0.06,7.7,-99,,,
11.3,0.02,0.15,19.9,-90.6,,,
11.6,0.04,0.27,32.2,-81.6,,,
12.1,0.05,0.49,44.1,-70.6,,,
12.2,0.01,0.46,55.1,-55.4,,,
12.1,0.02,0.52,63.6,-31.7,,,
12.9,0.04,0.72,66.8,3,,,
14.8,0.07,0.66,62.5,36.3,,,
15.1,0.06,0.58,53.4,58.3,,,
15.5,0.05,0.46,42.2,72.6,,,
15.9,0.06,0.31,30.2,83.2,,,
15.8,0.05,0.18,17.9,92,,,
14.7,0.06,0.05,5.7,100.4,,,
14.2,0,0,0,0,,,
13.3,0,0,0,0,,,
12.6,0,0,0,0,,,
12.2,0,0,0,0,,,
11.5,0,0,0,0,,,
11.8,0,0,0,0,,,
11.2,0,0,0,0,,,
10.8,0,0,0,0,,,
10.5,0,0,0,0,,,
10.4,0,0,0,0,,,
10.7,0,0,0,0,,,
10.7,0.06,0.08,7.9,-99.3,,,
10.7,0.07,0.22,20.2,-90.9,,,
11.4,0.06,0.38,32.4,-81.9,,,
12.6,0.17,0.69,44.4,-71,,,
15.5,0.9,0.98,55.4,-55.8,,,
18.4,0.5,1.13,64,-31.9,,,
19,0.05,0.78,67.1,3.2,,,
18.3,0.08,0.71,62.8,36.8,,,
18.3,0.09,0.62,53.6,58.8,,,
17.5,0.06,0.5,42.4,73,,,
16.2,0.03,0.29,30.4,83.5,,,
15.6,0.01,0.12,18.1,92.3,,,
15.2,0.01,0.03,5.9,100.7,,,
15.1,0,0,0,0,,,
15.3,0,0,0,0,,,
15.8,0,0,0,0,,,
15.8,0,0,0,0,,,
15.8,0,0,0,0,,,
15.5,0,0,0,0,,,
15.7,0,0,0,0,,,
15.5,0,0,0,0,,,
15.3,0,0,0,0,,,
15.3,0,0,0,0,,,
15.4,0,0,0,0,,,
15.3,0.04,0.06,8.2,-99.5,,,
15.6,0.05,0.21,20.4,-91.2,,,
16,0.06,0.34,32.6,-82.2,,,
16.4,0.04,0.5,44.6,-71.3,,,
16.1,0.03,0.62,55.6,-56.1,,,
16.5,0.06,0.68,64.3,-32.2,,,
16.8,0.03,0.73,67.4,3.3,,,
16.4,0.06,0.66,63.1,37.3,,,
15.8,0.06,0.58,53.8,59.3,,,
14.5,0.05,0.47,42.5,73.4,,,
13.6,0.06,0.32,30.5,83.9,,,
13.2,0.05,0.18,18.2,92.7,,,
13.1,0.06,0.06,6,101,,,
12.4,0,0,0,0,,,
11.5,0,0,0,0,,,
11.1,0,0,0,0,,,
10.3,0,0,0,0,,,
10.2,0,0,0,0,,,
9.1,0,0,0,0,,,
8.4,0,0,0,0,,,
8.4,0,0,0,0,,,
9.1,0,0,0,0,,,
10.9,0,0,0,0,,,
11.6,0,0,0,0,,,
11.5,0.15,0.1,8.4,-99.8,,,
11.6,0.14,0.27,20.6,-91.5,,,
12.5,0.13,0.46,32.9,-82.5,,,
12.2,0.13,0.63,44.8,-71.6,,,
14,0.63,1.02,55.9,-56.5,,,
13.2,0.86,1.11,64.6,-32.4,,,
15.3,1.08,1.09,67.8,3.5,,,
15.2,1.07,1.05,63.3,37.7,,,
15,1.1,0.91,54,59.7,,,
13.9,1.05,0.74,42.7,73.8,,,
13.4,0.3,0.52,30.7,84.2,,,
12.7,0.42,0.3,18.4,93,,,
11.7,0.53,0.1,6.2,101.3,,,
11.1,0,0,0,0,,,
9.1,0,0,0,0,,,
8.4,0,0,0,0,,,
7.9,0,0,0,0,,,
6.9,0,0,0,0,,,
6.2,0,0,0,0,,,
5.8,0,0,0,0,,,
5.3,0,0,0,0,,,
4.9,0,0,0,0,,,
4.5,0,0,0,0,,,
4.2,0,0.01,0,0,,,
4.3,0.54,0.14,8.6,-100,,,
6.8,1.7,0.25,20.8,-91.7,,,
9.4,2.21,0.27,33.1,-82.8,,,
11.4,2.34,0.33,45.1,-72,,,
14.1,2.38,0.4,56.2,-56.8,,,
15.8,2.39,0.44,64.9,-32.7,,,
18.1,2.4,0.45,68.1,3.7,,,
19.1,2.38,0.44,63.6,38.2,,,
19.6,2.38,0.38,54.2,60.2,,,
20,2.32,0.32,42.9,74.2,,,
20,2.18,0.26,30.8,84.6,,,
18.3,1.78,0.2,18.5,93.3,,,
17.1,0.71,0.1,6.3,101.6,,,
16.2,0,0,0,0,,,
14.8,0,0,0,0,,,
12.9,0,0,0,0,,,
11.7,0,0,0,0,,,
11.1,0,0,0,0,,,
11,0,0,0,0,,,
10.3,0,0,0,0,,,
9.7,0,0,0,0,,,
9.2,0,0,0,0,,,
8.6,0,0,0,0,,,
8.5,0,0.01,0,0,,,
8.8,0.26,0.13,8.8,-100.3,,,
10.3,0.33,0.34,21,-92,,,
13,1.73,0.41,33.3,-83.1,,,
14.4,2.14,0.42,45.3,-72.3,,,
17.2,1.53,0.79,56.4,-57.2,,,
19.9,0.81,1.13,65.2,-32.9,,,
21.1,2.2,0.56,68.4,3.8,,,
22,1.85,0.71,63.8,38.6,,,
23,2.18,0.48,54.4,60.6,,,
22.6,2.14,0.39,43,74.6,,,
21.9,2,0.31,30.9,84.9,,,
21.5,1.61,0.23,18.7,93.6,,,
20.5,0.26,0.09,6.5,101.9,,,
18.8,0,0,0,0,,,
17.7,0,0,0,0,,,
17.6,0,0,0,0,,,
16.5,0,0,0,0,,,
15.5,0,0,0,0,,,
14.3,0,0,0,0,,,
13.1,0,0,0,0,,,
12.6,0,0,0,0,,,
12,0,0,0,0,,,
11.5,0,0,0,0,,,
10.9,0,0.01,0,0,,,
11.2,0.28,0.14,9,-100.5,,,
12.3,1.24,0.32,21.2,-92.3,,,
14.8,2.06,0.32,33.5,-83.4,,,
16,2.14,0.42,45.5,-72.6,,,
18.8,2.19,0.49,56.7,-57.6,,,
19.4,2.22,0.54,65.5,-33.2,,,
21.2,2.21,0.56,68.7,4,,,
21.5,2.22,0.53,64.1,39.1,,,
22,2.18,0.48,54.6,61.1,,,
22.7,2.14,0.39,43.2,75,,,
22.3,2,0.31,31.1,85.2,,,
21.7,0.48,0.32,18.8,93.9,,,
22.7,0.29,0.1,6.6,102.2,,,
20.1,0,0,0,0,,,
19.4,0,0,0,0,,,
18.3,0,0,0,0,,,
17.6,0,0,0,0,,,
17.7,0,0,0,0,,,
16.2,0,0,0,0,,,
15.3,0,0,0,0,,,
14.7,0,0,0,0,,,
13.7,0,0,0,0,,,
13.4,0,0,0,0,,,
12.8,0,0.01,0,0,,,
13.2,0.26,0.14,9.2,-100.8,,,
13.8,1.18,0.33,21.4,-92.5,,,
16.2,1.97,0.35,33.7,-83.7,,,
18.3,2.08,0.44,45.7,-73,,,
20.8,2.11,0.53,56.9,-57.9,,,
23,2.11,0.59,65.8,-33.5,,,
23.6,2.11,0.62,69,4.1,,,
25.1,2.12,0.58,64.3,39.6,,,
25.3,1.78,0.66,54.8,61.5,,,
25.8,1.45,0.64,43.3,75.4,,,
24.5,0.79,0.56,31.2,85.6,,,
22.1,0.24,0.29,18.9,94.2,,,
20.4,0.27,0.1,6.8,102.5,,,
19.7,0,0,0,0,,,
18.5,0,0,0,0,,,
17.2,0,0,0,0,,,
16.5,0,0,0,0,,,
16.2,0,0,0,0,,,
15.3,0,0,0,0,,,
14.3,0,0,0,0,,,
14,0,0,0,0,,,
13.5,0,0,0,0,,,
13.5,0,0,0,0,,,
13.6,0,0.01,0,0,,,
13.3,0.11,0.11,9.4,-101,,,
13.8,0.17,0.3,21.6,-92.8,,,
14.5,0.16,0.5,33.9,-84,,,
16,0.74,0.84,46,-73.3,,,
18.4,0.56,1.03,57.2,-58.3,,,
20.3,1.7,0.81,66.1,-33.8,,,
22,0.7,1.18,69.4,4.3,,,
18.2,0.54,1.14,64.6,40,,,
19.4,1.42,0.81,55,62,,,
18,2.03,0.44,43.5,75.8,,,
18,1.9,0.34,31.4,85.9,,,
16.9,1.57,0.24,19.1,94.5,,,
15.2,0.34,0.1,6.9,102.7,,,
14.1,0,0,0,0,,,
13.2,0,0,0,0,,,
12.5,0,0,0,0,,,
11.4,0,0,0,0,,,
11.9,0,0,0,0,,,
11.6,0,0,0,0,,,
9.9,0,0,0,0,,,
9.1,0,0,0,0,,,
8.9,0,0,0,0,,,
7.8,0,0,0,0,,,
8.7,0,0.01,0,0,,,
9.3,0.33,0.14,9.6,-101.3,,,
10.8,1.18,0.34,21.8,-93.1,,,
12.5,2.18,0.29,34.1,-84.3,,,
13.9,2.3,0.36,46.2,-73.6,,,
15.7,2.34,0.42,57.4,-58.7,,,
16.8,2.36,0.46,66.4,-34.1,,,
18,2.35,0.48,69.7,4.5,,,
19.8,2.34,0.46,64.8,40.5,,,
19.9,2.32,0.42,55.1,62.4,,,
19.5,2.29,0.34,43.6,76.2,,,
17.9,2.13,0.28,31.5,86.2,,,
17,1.75,0.22,19.2,94.8,,,
15.5,0.89,0.1,7.1,103,,,
13.6,0,0,0,0,,,
13.4,0,0,0,0,,,
12.8,0,0,0,0,,,
11.8,0,0,0,0,,,
11.2,0,0,0,0,,,
10.7,0,0,0,0,,,
10.6,0,0,0,0,,,
10.5,0,0,0,0,,,
10.4,0,0,0,0,,,
11.3,0,0,0,0,,,
10.8,0.01,0.02,0,0,,,
11.4,0.5,0.15,9.8,-101.5,,,
12.2,1.43,0.3,22,-93.3,,,
13.4,1.86,0.38,34.3,-84.6,,,
14.3,2.28,0.37,46.4,-74,,,
15.7,2.33,0.42,57.6,-59.1,,,
17.3,2.33,0.48,66.7,-34.4,,,
18.5,2.33,0.5,70,4.6,,,
19.5,2.33,0.47,65.1,40.9,,,
18.9,2.31,0.42,55.3,62.9,,,
18.6,2.25,0.36,43.8,76.5,,,
17.5,2.1,0.29,31.6,86.6,,,
16.5,1.76,0.22,19.4,95.1,,,
15,0.4,0.11,7.2,103.3,,,
13.2,0,0,0,0,,,
11.7,0,0,0,0,,,
11.2,0,0,0,0,,,
11,0,0,0,0,,,
11.3,0,0,0,0,,,
10.8,0,0,0,0,,,
10,0,0,0,0,,,
10.3,0,0,0,0,,,
10.4,0,0,0,0,,,
9.8,0,0,0,0,,,
10.1,0.01,0.01,0,0,,,
9.7,0.19,0.14,10,-101.7,,,
10.8,0.18,0.33,22.2,-93.6,,,
12.5,0.17,0.52,34.5,-84.8,,,
12.6,0.16,0.71,46.6,-74.3,,,
13.3,0.23,0.93,57.9,-59.4,,,
15.3,1.15,1.06,67,-34.7,,,
17,2.11,0.62,70.3,4.7,,,
17.7,2.11,0.59,65.3,41.4,,,
17.7,2.1,0.52,55.5,63.3,,,
18.1,2.06,0.42,43.9,76.9,,,
17.5,1.94,0.33,31.8,86.9,,,
17.4,1.61,0.24,19.5,95.4,,,
16.8,0.49,0.11,7.4,103.5,,,
16,0,0,0,0,,,
15.3,0,0,0,0,,,
14.8,0,0,0,0,,,
14.8,0,0,0,0,,,
13.7,0,0,0,0,,,
13.6,0,0,0,0,,,
13.8,0,0,0,0,,,
13.2,0,0,0,0,,,
13.4,0,0,0,0,,,
13.3,0,0,0,0,,,
12.8,0.01,0.01,0,0,,,
13,0.06,0.1,10.2,-102,,,
13.6,0.05,0.23,22.4,-93.8,,,
14,0.05,0.37,34.7,-85.1,,,
15.1,0.04,0.52,46.8,-74.6,,,
15.3,0.06,0.62,58.1,-59.8,,,
16.3,0.03,0.72,67.2,-35,,,
17.1,0.09,0.7,70.6,4.9,,,
17.7,0.05,0.7,65.5,41.9,,,
17.5,0.02,0.47,55.7,63.7,,,
16.5,0,0.26,44.1,77.3,,,
16.1,0.02,0.18,31.9,87.2,,,
15.7,0.02,0.1,19.6,95.7,,,
15.1,0.02,0.04,7.5,103.8,,,
14.7,0,0,0,0,,,
14.8,0,0,0,0,,,
14.9,0,0,0,0,,,
14.8,0,0,0,0,,,
15.2,0,0,0,0,,,
15,0,0,0,0,,,
14.9,0,0,0,0,,,
14.9,0,0,0,0,,,
15,0,0,0,0,,,
15.1,0,0,0,0,,,
15.3,0.01,0.01,0,0,,,
15.3,0.06,0.1,10.4,-102.2,,,
15.3,0.06,0.22,22.6,-94.1,,,
15.8,0.01,0.29,34.8,-85.4,,,
16,0.02,0.4,46.9,-75,,,
16.4,0.05,0.62,58.3,-60.2,,,
