áWbëÂí√ (551-A1),,,,,,,
äOãCâ∑[Åé],ñ@ê¸ñ íºíBì˙éÀó (Watanabe)[MJ/hm2],êÖïΩñ ìVãÛì˙éÀó (Watanabe)[MJ/hm2],ëæózçÇìxäp[Åã],ëæózï˚à äp[Åã],,,
6.7,0,0,0,0,,,
6.1,0,0,0,0,,,
6.3,0,0,0,0,,,
6.2,0,0,0,0,,,
6.4,0,0,0,0,,,
5.2,0,0,0,0,,,
2.9,0,0,0,0,,,
2.5,0.01,0.02,0,0,,,
3.5,1.25,0.13,8.8,-54.8,,,
5.7,1.98,0.19,18.2,-44.2,,,
8.1,2.3,0.22,25.7,-31.7,,,
8.6,2.41,0.24,30.8,-17,,,
9.5,2.44,0.25,32.7,-0.8,,,
10.6,2.4,0.25,31.2,15.5,,,
11,2.32,0.22,26.4,30.3,,,
11.6,1.98,0.2,19,43.1,,,
10.9,1.02,0.15,9.8,53.8,,,
10.1,0.03,0.02,0,0,,,
7.5,0,0,0,0,,,
6.4,0,0,0,0,,,
4.3,0,0,0,0,,,
3.5,0,0,0,0,,,
3.1,0,0,0,0,,,
2.5,0,0,0,0,,,
2.3,0,0,0,0,,,
1.6,0,0,0,0,,,
1.1,0,0,0,0,,,
0.9,0,0,0,0,,,
0.5,0,0,0,0,,,
0.4,0,0,0,0,,,
0.2,0,0,0,0,,,
0.5,0.01,0.01,0,0,,,
0.9,0.25,0.13,8.8,-54.9,,,
2.7,1.26,0.29,18.2,-44.4,,,
4.5,0.89,0.47,25.8,-31.8,,,
5.9,1.37,0.5,30.9,-17.1,,,
7,2.27,0.3,32.9,-0.9,,,
8.2,2.25,0.29,31.3,15.4,,,
14.8,2.14,0.26,26.5,30.3,,,
14.9,1.63,0.26,19.2,43.1,,,
14.7,0.61,0.17,10,53.9,,,
13.8,0.03,0.02,0,0,,,
12.6,0,0,0,0,,,
12.5,0,0,0,0,,,
12.5,0,0,0,0,,,
12.4,0,0,0,0,,,
12.2,0,0,0,0,,,
12,0,0,0,0,,,
7.1,0,0,0,0,,,
6.8,0,0,0,0,,,
6.5,0,0,0,0,,,
6.5,0,0,0,0,,,
6.1,0,0,0,0,,,
5.3,0,0,0,0,,,
4.6,0,0,0,0,,,
4,0.01,0.01,0,0,,,
3.9,0.08,0.1,8.9,-55.1,,,
3.7,0.23,0.29,18.3,-44.6,,,
4.3,0.2,0.42,25.9,-32,,,
5,0.33,0.55,31.1,-17.3,,,
4.4,0.46,0.62,33,-1,,,
5.3,0.8,0.59,31.5,15.3,,,
4.7,0.07,0.34,26.7,30.3,,,
4.4,0.09,0.23,19.3,43.1,,,
4,0.08,0.11,10.1,53.9,,,
3.9,0.01,0.02,0,0,,,
3,0,0,0,0,,,
1.9,0,0,0,0,,,
1.5,0,0,0,0,,,
0.9,0,0,0,0,,,
3.4,0,0,0,0,,,
3,0,0,0,0,,,
2.4,0,0,0,0,,,
1.2,0,0,0,0,,,
1.7,0,0,0,0,,,
0.9,0,0,0,0,,,
0.2,0,0,0,0,,,
0.1,0,0,0,0,,,
-0.1,0,0,0,0,,,
-0.9,0.01,0.02,0,0,,,
0.8,0.94,0.14,8.9,-55.3,,,
2.1,1.44,0.26,18.3,-44.7,,,
4.1,0.87,0.47,26,-32.2,,,
4.3,0.21,0.51,31.2,-17.4,,,
5.8,0.13,0.49,33.2,-1.1,,,
5.3,0.13,0.47,31.6,15.3,,,
5.5,0.7,0.5,26.9,30.3,,,
6.3,1.22,0.31,19.5,43.1,,,
5.5,0.22,0.15,10.3,53.9,,,
